q	a	thinking	breakdown
I want to find all functions that are bigger than 100 bytes. How can I do that?	afl,size/gt/100,name/cols,:quiet	"
To find functions by size, we need to first list all functions, then filter them by size. The command needs to:
1. List all functions (we need their sizes)
2. Filter them to show only those bigger than 100 bytes
3. Show just the names to keep it clean
4. Make it quiet to avoid extra noise

This leads to using 'afl' (analyze function list) with table filtering (,) to check sizes and get names, with :quiet to clean up the output.
"	"
[
  {
    ""part"": ""afl"",
    ""category"": ""analysis"",
    ""desc"": ""List all functions - gives us the base data to filter from""
  },
  {
    ""part"": "","",
    ""category"": ""table"",
    ""desc"": ""Switch to table query mode for filtering columns""
  },
  {
    ""part"": ""size/gt/100"",
    ""category"": ""filter"",
    ""desc"": ""Filter where size column is greater than 100""
  },
  {
    ""part"": "","",
    ""category"": ""separator"",
    ""desc"": ""Chain another table operation""
  },
  {
    ""part"": ""name/cols"",
    ""category"": ""columns"",
    ""desc"": ""Select only the name column from results""
  },
  {
    ""part"": "":quiet"",
    ""category"": ""output"",
    ""desc"": ""Remove headers and extra formatting from output""
  }
]
"
How do I see what libraries this program needs to run? Like its dependencies?	il	"
When we want to see library dependencies of a binary, we're looking for its dynamic linking information. In reverse engineering terms, these are the libraries that get loaded when the program starts. The most direct way to see this would be to list the libraries, which is what we need to do here. Looking at the commands, 'i' is for information about the binary, and 'l' specifically lists libraries.
"	"
[
    {
        ""part"": ""i"",
        ""category"": ""information"",
        ""desc"": ""information about the binary is needed, so 'i' is the base command for binary info""
    },
    {
        ""part"": ""l"",
        ""category"": ""libraries"",
        ""desc"": ""specifically lists the linked libraries (dependencies) of the program""
    }
]
"
How can I see if there are any hidden or suspicious strings in the binary?	izz	"
When looking for hidden strings in a binary, we want to search through the entire file, not just the data sections where strings are typically stored. Regular string search (iz) only looks in data sections, but for malware analysis or forensics we need to scan everything. The command should be related to string searching but more thorough.

Looking at the string-related commands, I see 'izz' which is described as ""search for Strings in the whole binary"". This is perfect because it will find strings anywhere in the file, even if they're hidden in unusual sections or encoded.
"	"
[
  {
    ""part"": ""i"",
    ""category"": ""info"",
    ""desc"": ""information commands are used to analyze file contents""
  },
  {
    ""part"": ""z"",
    ""category"": ""strings"",
    ""desc"": ""specifies we want to work with strings in the binary""
  },
  {
    ""part"": ""z"",
    ""category"": ""depth"",
    ""desc"": ""second z indicates we want to search deeply through the whole binary, not just data sections""
  }
]
"
How do I check what CPU architecture this binary is compiled for?	i~arch,bits	"
When examining a binary, one of the first things we need to know is its architecture and bit width. This information is stored in the binary's headers. In radare2, the 'i' command shows binary information. However, there's usually a lot of information, so we need to filter it down to just show architecture and bits. The tilde (~) operator with a comma lets us search for multiple terms at once.
"	"
[
    {
        ""part"": ""i"",
        ""category"": ""info"",
        ""desc"": ""display information about the loaded binary""
    },
    {
        ""part"": ""~"",
        ""category"": ""grep"",
        ""desc"": ""filter the output using grep-like functionality""
    },
    {
        ""part"": ""<arch,bits>"",
        ""category"": ""search terms"",
        ""desc"": ""search for lines containing either 'arch' or 'bits' in the output""
    }
]
"
I want to find all the places where a global variable is being used. How do I do that?	axt@address	"
To find all references to a global variable, we need to use cross-reference analysis. Since we're looking for where a variable is being used, we need to find all the places that reference a specific address. This is a common reverse engineering task when tracking data flow.

The command should show us every place in the code that reads from, writes to, or otherwise references our variable's address. We need a command that shows cross-references (x-refs) to a specific target address.
"	"
[
    {
        ""part"": ""a"",
        ""category"": ""analysis"",
        ""desc"": ""analysis commands are used for extracting program information""
    },
    {
        ""part"": ""x"",
        ""category"": ""xrefs"",
        ""desc"": ""cross-references subcommand - shows relationships between code/data""
    },
    {
        ""part"": ""t"",
        ""category"": ""type"",
        ""desc"": ""specifies we want to find references TO this address""
    },
    {
        ""part"": ""@<address>"",
        ""category"": ""address"",
        ""desc"": ""specifies the target address of the global variable we want to find references to""
    }
]
"
I want to look at the biggest functions in the program	afl,size/sort/dec,./head/10,addr/cols/size/name	"
You want to find the largest functions in the program, which requires:
1. Getting a list of all functions (afl)
2. Sorting them by size in descending order
3. Taking only the top 10
4. Showing specific columns (address, size, name) 

This is a perfect use case for the table query syntax in radare2 (,) which allows filtering and formatting data in tables. The command uses afl to list functions, then chains several table operations with commas to process and display the data exactly as needed.
"	"
[
  {
    ""part"": ""afl"",
    ""category"": ""analysis"",
    ""desc"": ""list all functions - gives us the base data to work with""
  },
  {
    ""part"": "","",
    ""category"": ""table"",
    ""desc"": ""switch to table processing mode for the afl output""
  },
  {
    ""part"": ""size/sort/dec"",
    ""category"": ""sort"",
    ""desc"": ""sort the functions by their size column in descending order""
  },
  {
    ""part"": "","",
    ""category"": ""separator"",
    ""desc"": ""chain another table operation""
  },
  {
    ""part"": ""./head/10"",
    ""category"": ""limit"",
    ""desc"": ""take only the first 10 results""
  },
  {
    ""part"": "","",
    ""category"": ""separator"", 
    ""desc"": ""chain final table operation""
  },
  {
    ""part"": ""addr/cols/size/name"",
    ""category"": ""columns"",
    ""desc"": ""show only the address, size and name columns in that order""
  }
]
"
How do I sort functions by size?	aflss	"
Looking at the function listing commands, we want to list functions but with a specific sorting. The question asks for sorting by size, so we need the function list command (afl) with some sort of size sorting modifier. Looking at the help, we can see that 'afls' allows sorting functions, and adding another 's' specifically sorts by size.

The command builds up logically - first we need analysis of functions (af), then we need to list them (l), then we need to sort them (s), and finally we want to sort by size (s again).
"	"
[
    {""part"": ""a"", ""category"": ""analysis"", ""desc"": ""analysis command, since we're working with analyzed functions""},
    {""part"": ""f"", ""category"": ""functions"", ""desc"": ""specifies we're working with functions""},
    {""part"": ""l"", ""category"": ""listing"", ""desc"": ""list the functions""},
    {""part"": ""s"", ""category"": ""sort"", ""desc"": ""enables sorting mode for the function list""},
    {""part"": ""s"", ""category"": ""size"", ""desc"": ""specifies size as the sorting criteria""}
]
"
I want to see what math operations a function is doing. How do I find arithmetic instructions?	/at add,sub,mul,div@e:search.in=anal.fcn	"
To find arithmetic operations in a function, we need to search through the analyzed function's instructions looking specifically for arithmetic operations. The question is asking about math operations, which maps directly to assembly instructions like add, sub, mul, and div.

The /at command is perfect for this because it searches for specific instruction types. By providing the list of arithmetic operations and limiting the search scope to the current function with @e:search.in=anal.fcn, we'll get exactly what we want.
"	"
[
    {
        ""part"": ""/"",
        ""category"": ""search"",
        ""desc"": ""Search command - we're looking for specific things in the code""
    },
    {
        ""part"": ""a"",
        ""category"": ""analysis"",
        ""desc"": ""Search in analyzed code rather than raw bytes""
    },
    {
        ""part"": ""t"",
        ""category"": ""type"",
        ""desc"": ""Search for specific types of instructions""
    },
    {
        ""part"": ""<add,sub,mul,div>"",
        ""category"": ""arguments"",
        ""desc"": ""The arithmetic operations we want to find""
    },
    {
        ""part"": ""@e:search.in=anal.fcn"",
        ""category"": ""scope"",
        ""desc"": ""Limit search to current function only""
    }
]
"
I want to see what binary operations a function is doing. How do I find logic binary instructions?	/at shl,shr,rol,ror,sal,sar,xor@e:search.in=anal.fcn	"
To find binary operations in a function, we need to search through the analyzed function's instructions. We want to specifically look for bit manipulation instructions like shifts and rotates.

The command needs to:
1. Search (/command) for specific instruction types
2. Look for assembly instructions (at subcommand)
3. List multiple operation types (comma separated)
4. Limit the search to the current function (using @e:search.in=)

The /at command is perfect because it searches for instruction types within the disassembly, and we can provide multiple types separated by commas.
"	"
[
    {
        ""part"": ""/"",
        ""category"": ""search"",
        ""desc"": ""initiate a search command""
    },
    {
        ""part"": ""at"",
        ""category"": ""analysis"",
        ""desc"": ""search for specific instruction types in assembly""
    },
    {
        ""part"": ""<shl,shr,rol,ror,sal,sar,xor>"",
        ""category"": ""arguments"",
        ""desc"": ""list of binary operations to search for""
    },
    {
        ""part"": ""@"",
        ""category"": ""specifier"",
        ""desc"": ""indicates we're about to specify where to search""
    },
    {
        ""part"": ""e:search.in=anal.fcn"",
        ""category"": ""configuration"",
        ""desc"": ""limit search to current analyzed function""
    }
]
"
I want to see if there are any URLs addresses hidden in the binary. How do I search?	iz~http://,https://,www	"
To find URLs in a binary, we need to:
1. First, search through strings in the data sections - that's where URLs are typically stored
2. Then filter those results to look specifically for URLs
3. The URLs usually start with http:// or https://, and can also contain www

The command needs to start with 'iz' to list strings, then use grep (~) to filter for these common URL patterns. Multiple patterns can be separated by commas in the grep.
"	"
[
  {
    ""part"": ""i"",
    ""category"": ""info"",
    ""desc"": ""information commands to analyze binary contents""
  },
  {
    ""part"": ""z"",
    ""category"": ""strings"",
    ""desc"": ""list strings in data sections""
  },
  {
    ""part"": ""~"",
    ""category"": ""grep"",
    ""desc"": ""filter the output""
  },
  {
    ""part"": ""<http://,https://,www>"",
    ""category"": ""patterns"",
    ""desc"": ""common URL patterns to search for, separated by commas""
  }
]
"
How can I find all the switch statements in a function?	pdr~switch	"
To find switch statements in a function, we need to:
1. First disassemble the function
2. But we want to do it recursively to see all possible paths
3. Then filter the output to only show lines containing ""switch""

This leads to using pdr (print disassemble recursive) which will show all possible execution paths in the function, followed by the grep operator (~) to filter for ""switch"" keywords.
"	"
[
    {
        ""part"": ""p"",
        ""category"": ""print"",
        ""desc"": ""print command is the base for displaying data""
    },
    {
        ""cmd"": ""d"",
        ""category"": ""disassembly"",
        ""desc"": ""specifies we want to disassemble code""
    },
    {
        ""cmd"": ""r"",
        ""category"": ""recursive"",
        ""desc"": ""tells disassembler to follow all possible execution paths recursively""
    },
    {
        ""cmd"": ""~"",
        ""category"": ""grep"",
        ""desc"": ""filter operator to search through the output""
    },
    {
        ""cmd"": ""<switch>"",
        ""category"": ""filter_term"",
        ""desc"": ""the keyword we're searching for in the disassembly""
    }
]
"
I want to see if this program creates any child processes. How do I find fork calls?	axt @sym.fork	"
To find fork calls in a program, we need to find cross-references (xrefs) to the fork system call. The fork() function is typically a symbol in the binary, so we want to find all code locations that reference this symbol.

The most direct way to do this is to find all cross-references to the fork symbol. We need a command that:
1. Analyzes cross-references (ax)
2. Specifically looks at cross-references TO (t) a specific symbol
3. Points to the fork symbol (@sym.fork)
"	"
[
    {
        ""part"": ""ax"", 
        ""category"": ""analysis"",
        ""desc"": ""cross-references command to find code/data references""
    },
    {
        ""part"": ""t"",
        ""category"": ""direction"",
        ""desc"": ""specifies we want references TO the target (not from)""
    },
    {
        ""part"": ""@"",
        ""category"": ""addressing"",
        ""desc"": ""specifies we want to look at a specific address/symbol""
    },
    {
        ""part"": ""<sym.fork>"",
        ""category"": ""symbol"",
        ""desc"": ""the symbol name we're looking for references to""
    }
]
"
I want to see all the places where data is being copied in memory. How do I find memcpy calls?	axt @sym.memcpy	"
To find all places where memcpy is being called, we need to look for cross-references (xrefs) to the memcpy symbol. This is a common analysis task when tracking data movement in a binary.

The process is:
1. First, we need to reference the memcpy symbol (@sym.memcpy)
2. Then we want to find all cross-references to it (axt)
3. This will show us every location in the code that calls memcpy

The command `axt` (analyze xrefs to) is perfect for this as it shows all code locations that reference a given address or symbol.
"	"
[
  {
    ""part"": ""ax"",
    ""category"": ""analysis"",
    ""desc"": ""analyze cross references""
  },
  {
    ""part"": ""t"",
    ""category"": ""type"",
    ""desc"": ""specifically find references 'to' the target""
  },
  {
    ""part"": ""@"",
    ""category"": ""address"",
    ""desc"": ""specify the target address/symbol to analyze""
  },
  {
    ""part"": ""<sym.memcpy>"",
    ""category"": ""symbol"",
    ""desc"": ""the memcpy function symbol to find references to""
  }
]
"
I want to see what happens right after the program starts. Where's the initialization code?	pdf@entry0	"
When a program starts, the first code that runs is usually at the entry point. This is where initialization, runtime setup, and the path to main() begins. To see this code, we need to:
1. Print/display the code
2. In a disassembly format
3. For a function
4. Specifically at the entry point (entry0)

The command needs to show us the full function disassembly starting at the program's entry point, which is exactly what we want to see for initialization code.
"	"
[
    {""part"": ""p"", ""category"": ""print"", ""desc"": ""We want to display/print something""},
    {""part"": ""d"", ""category"": ""disassembly"", ""desc"": ""We want to see the code disassembled""},
    {""part"": ""f"", ""category"": ""function"", ""desc"": ""We want to see the complete function""},
    {""part"": ""@entry0"", ""category"": ""address"", ""desc"": ""At the program's entry point, where execution begins""}
]
"
How do I find all the functions that use floating-point math?	afn.@@=`/af fpu~[0]`	"
To find functions using floating-point math, we need to:
1. First search for FPU (Floating Point Unit) instructions
2. Get their addresses
3. Then find which functions contain those addresses
4. Finally rename or list those functions

The command builds this pipeline: It searches for FPU instructions (/af fpu), gets the addresses (~[0]), and then uses those addresses as input for a function command (afn) using the foreach iterator (@@=).
"	"
[
  {""part"": ""afn"", ""category"": ""analysis_function"", ""desc"": ""function rename/list command""},
  {""part"": ""."", ""category"": ""current"", ""desc"": ""operate on current function""},
  {""part"": ""@@="", ""category"": ""iterator"", ""desc"": ""foreach iterator that takes a list of offsets""},
  {""part"": ""`"", ""category"": ""command_substitution"", ""desc"": ""backtick to execute inner command first""},
  {""part"": ""/af"", ""category"": ""search"", ""desc"": ""search for AMS instructions""},
  {""part"": ""<fpu>"", ""category"": ""argument"", ""desc"": ""specify floating point instructions""},
  {""part"": ""~"", ""category"": ""grep"", ""desc"": ""filter output""},
  {""part"": ""[0]"", ""category"": ""column_selector"", ""desc"": ""select first column (addresses)""}
]
"
I want to analyze all functions in the binary	aaa	"
When you want to analyze a binary, you need to understand its functions, references, variables and more. The most thorough way to do this in r2 is through automated analysis. Looking at the options, 'aaa' stands out as it's specifically designed to ""analyze all"" - it's the most common and comprehensive analysis command that performs deeper analysis of the whole program. This is typically the first command you run after loading a binary to get a good understanding of its structure.

The command is actually doing multiple steps behind the scenes - it runs the equivalent of 'af' (analyze functions) on all detected function locations, analyzes arguments (afva), and performs many other analysis tasks to give you a complete picture of the binary.
"	"
[
  {
    ""part"": ""a"", 
    ""category"": ""analysis"",
    ""desc"": ""Analysis command - we need to analyze something""
  },
  {
    ""part"": ""a"",
    ""category"": ""analysis"",
    ""desc"": ""Second 'a' indicates we want to perform deeper analysis""
  },
  {
    ""part"": ""a"",
    ""category"": ""analysis"", 
    ""desc"": ""Third 'a' makes it the most comprehensive analysis command - analyze all""
  }
]
"
How do I seek to the entry point of the binary?	s entry0	"
When working with binaries, one of the most common needs is to navigate to the entry point - the first instruction that gets executed when the program starts. This is typically labeled as 'entry0' in radare2. Since we need to change our current position in the binary, we need a seek command, which in radare2 is done with 's'. The entry point is a known symbol in radare2 called 'entry0', so we can directly seek to it.
"	"
[
    {
        ""part"": ""s"",
        ""category"": ""seek"",
        ""desc"": ""seek command - used to change current position in the binary""
    },
    {
        ""part"": ""<entry0>"",
        ""category"": ""symbol"",
        ""desc"": ""standard name for program entry point in radare2""
    }
]
"
Disassemble 20 instructions starting from the current address	pd 20	"
When we need to disassemble code, we need a command that can show us the assembly instructions. Looking at the command set, we know we need to print something ('p' commands), and specifically we want to disassemble ('d' for disassembly). Since we want a specific number of instructions (20), we'll need to provide that as an argument. The command builds naturally as 'pd' followed by the number of instructions we want to see.
"	"
[
  {
    ""part"": ""p"",
    ""category"": ""print"",
    ""desc"": ""we start with print because we want to output something""
  },
  {
    ""part"": ""d"",
    ""category"": ""disassembly"",
    ""desc"": ""specifies we want to disassemble rather than print raw bytes or other formats""
  },
  {
    ""part"": ""<20>"",
    ""category"": ""argument"",
    ""desc"": ""specifies the number of instructions to disassemble""
  }
]
"
How do I list all functions found in the analysis?	afl	"
When analyzing a binary, one of the most common needs is to see what functions were discovered during analysis. Since we're asking about functions, and we want a list of them, we need a command that combines analysis ('a') with function ('f') operations and specifically listing ('l') them. The command needs to be quick and provide a comprehensive overview of all functions found during analysis.
"	"
[
    {
        ""part"": ""a"",
        ""category"": ""analysis"",
        ""desc"": ""analysis command, since we're working with analyzed data""
    },
    {
        ""part"": ""f"",
        ""category"": ""functions"",
        ""desc"": ""specifies we want to work with functions""
    },
    {
        ""part"": ""l"",
        ""category"": ""listing"",
        ""desc"": ""indicates we want to list/enumerate the functions""
    }
]
"
I want to see the disassembly of the `main` function	pdf @ main	"
You want to see the disassembly of a specific function - in this case 'main'. This requires:
1. A command to print/show something
2. That something needs to be disassembly
3. It needs to be function-specific
4. We need to specify which function to look at

Looking at the commands, 'pdf' is perfect for this - it's specifically designed to ""disassemble function"". The '@ main' syntax is used to specify we want to look at the 'main' function rather than whatever function contains the current seek position.
"	"
[
  {
    ""part"": ""p"", 
    ""category"": ""print"",
    ""desc"": ""print command - the base for showing/displaying data""
  },
  {
    ""part"": ""d"",
    ""category"": ""disassembly"", 
    ""desc"": ""specifies we want to see disassembly output""
  },
  {
    ""part"": ""f"",
    ""category"": ""function"",
    ""desc"": ""indicates we want to see a complete function rather than just N instructions""
  },
  {
    ""part"": ""@"",
    ""category"": ""address"",
    ""desc"": ""specifies where to apply the command""
  },
  {
    ""part"": ""<main>"",
    ""category"": ""argument"",
    ""desc"": ""the name of the function we want to disassemble""
  }
]
"
How can I print the contents at the address stored in the `esp` register?	px 200 @r:esp	"
To print contents at an address stored in a register, we need to:
1. First, understand we want to print/examine memory
2. The address we want to examine is stored in the esp register
3. We need to tell r2 to use the value IN the register as the address
4. We want to see enough data to be useful - 200 bytes seems reasonable

The command needs to:
- Use px for hexdump printing
- Specify length (200)
- Use @r: syntax to dereference register value
- Name the register (esp)
"	"
[
  {
    ""part"": ""p"", 
    ""category"": ""print"",
    ""desc"": ""Print command - we want to examine memory contents""
  },
  {
    ""part"": ""x"",
    ""category"": ""format"", 
    ""desc"": ""Hexdump format - shows both hex and ASCII representation""
  },
  {
    ""part"": ""<200>"",
    ""category"": ""argument"",
    ""desc"": ""Number of bytes to print - reasonable amount to see stack contents""
  },
  {
    ""part"": ""@"",
    ""category"": ""address"",
    ""desc"": ""At address operator - specifies where to print from""
  },
  {
    ""part"": ""r:"",
    ""category"": ""register"",
    ""desc"": ""Register prefix - tells r2 to use the register's value as an address""
  },
  {
    ""part"": ""<esp>"",
    ""category"": ""register"",
    ""desc"": ""Stack pointer register name - contains the address we want to examine""
  }
]
"
Dump the `main` function's buffer as a C byte array to `main.c`	pcf @ main > main.c	"
Looking at this question, we need to:
1. Dump a function's contents
2. Format it as a C byte array
3. Output it to a file
4. Target the main function specifically

This suggests we need the print command (p) followed by some formatting options. Since we want C format output and specifically a function's buffer, we'll need 'pc' for C output and 'f' to specify we want the function's data. The @ symbol allows us to specify which function to target (main), and the > redirects the output to a file.
"	"
[
  {
    ""part"": ""p"",
    ""category"": ""print"",
    ""desc"": ""print command to output data""
  },
  {
    ""part"": ""c"",
    ""category"": ""format"",
    ""desc"": ""format output as C code""
  },
  {
    ""part"": ""f"",
    ""category"": ""function"",
    ""desc"": ""specify we want the current function's buffer""
  },
  {
    ""part"": ""@"",
    ""category"": ""address"",
    ""desc"": ""at operator to specify where to read from""
  },
  {
    ""part"": ""<main>"",
    ""category"": ""argument"",
    ""desc"": ""target the main function""
  },
  {
    ""part"": "">"",
    ""category"": ""redirect"",
    ""desc"": ""redirect output to file""
  },
  {
    ""part"": ""<main.c>"",
    ""category"": ""argument"",
    ""desc"": ""output filename""
  }
]
"
