command	description
?btw num|expr num|expr num|expr	Check if a <= b <= c
?d [num]	Disassemble given number as a little and big endian dword
?e[=bdgnpst] arg	Print messages, bars, pie charts and more
?f [num] [str]	Map each bit of the number as flag string index
?F	Flush console output
?h [str]	Calculate hash for given string
?i[?] arg	Prompt for number or Yes/No/Msg/Key/Path and store in $$?
?j arg	Show result of math operation in JSON format
?l[q] str	Show length of string ('q' for quiet, just set $?)
?o num	Show octal value
?P paddr	Get virtual address for given physical one
?p vaddr	Get physical address for given virtual address
?q num|expr	Compute expression like ? or ?v but in quiet mode
?r [from] [to]	Generate random number between from-to
?s from to step	Generate sequence of numbers from to by steps
?t cmd	Show execution time of command
?T	Show loading times
?u num	Show value in human units (KB, MB, GB, TB)
?v num|expr	Show hex value of math expr (no expr prints $?)
?vi[1248] num|expr	Show decimal value of math expr
?vx num|expr	Show 8 digit padding in hex
?V	Show library version of r_core
?w addr	Show what's in this address (like pxr/pxq does)
?X num|expr	Show hexadecimal value of math expr
?x str	Show hexpair of number or string
?x+num	Show hexpair of math expr result
?x-hexst	Convert hexpair into raw string with newline
?_ hudfile	Load HUD menu with given file
?i ([prompt])	Prompt user and save input to yank buffer
?ie [msg]	Prompt user and print output
?iy [question]	Prompt yes/no with default Yes
?if [math-expr]	Evaluate math expression, return true if result is zero
?in [question]	Prompt yes/no with default No
?im [msg]	Prompt user with message and await key press
?ik	Await any key press
?ip ([path])	Prompt for file path
?iu (ui-expr)	Prompt user using UI expression
&	Require all words to match to grep the line
$	List all defined aliases
$$	Show current address
$!	Invert alphabetical sort
$!!	Reverse the lines (like 'tac' command)
, [table-query]	Query and print table. See ,? for more details
^#	Add comments
?@?	Show help for '@' (seek), '~' (grep)
?.	Count number of chars
?ea	Convert text into seven segment style ASCII art
:s..e	Show lines s-e
..	No operation
...	Repeat last command forward
....	Show internal HUD menu
:)	Parse C-like output from decompiler
:))	Apply syntax highlighting to code
<50	Perform zoom to the given text width on the buffer
<>	Apply XML indentation
{:	Apply human-friendly indentation
{:..	Apply human-friendly indentation and use internal less pager
{:...	Apply human-friendly indentation and show in HUD
{}	Apply JSON indentation
{}..	Apply JSON indentation and use internal less pager
{}...	Apply JSON indentation and show in HUD
{=}	Show output in gron-like format (key=value)
{path}	Apply JSON path grep
i~:0	Show first line of 'i' output
i~:-2	Show second to last line of 'i' output
i~:0..3	Show first three lines of 'i' output
pd~mov	Disassemble and grep for 'mov'
pi~[0]	Show only opcode
i~0x400$	Show lines ending with 0x400
$*	List all defined aliases and their values, with unprintable characters escaped
$**	List all defined aliases and their values, base64 encoding those with unprintable chars
$foo:=123	Create flag 'foo' with value 123
$foo-=4	Subtract 4 from flag 'foo'
$foo+=4	Add 4 to flag 'foo'
$foo	Alias for 's foo' (seek to flag 'foo')
$dis=base64:AAA=	Alias $dis to the raw bytes from decoding this base64 string
$dis=$hello world	Alias $dis to the string after '$'
$dis=$hello\\nworld\\0a	Alias $dis to string with escaped characters
$dis=-	Edit $dis alias in cfg.editor
$dis=af	Alias $dis to the 'af' command
"""$dis=af;pdf"""	Alias $dis to run 'af', then 'pdf'. Quotes required.
$test=. /tmp/test.js	Create command alias to run r2pipe script
$dis=	Undefine alias
$dis	Execute defined command alias, or print data alias with escaping
$dis?	Show commands aliased by $dis
flag	Show offset of flag
${ev}	Get value of eval config variable
$$$	Show current non-temporary virtual seek
$?	Show last comparison value
$alias=value	Define command alias
$B	Show base address (aligned lowest map address)
$b	Show block size
$c	Show terminal width in character columns
$Cn	Show nth call of function
$D	Show current debug map base address
$DB	Show program base address (dbg.baddr)
$DD	Show current debug map size
$Dn	Show nth data reference in function
$e	Show 1 if end of block, else 0
$e{flag}	Show end of flag (flag->offset + flag->size)
$f	Show jump fail address
$F	Show address of current function
$Fb	Show address of beginning of basic block
$FB	Show address of beginning of function
$Fe	Show address of end of basic block
$FE	Show address of end of function
$Ff	Show address of function false destination
$Fi	Show number of basic block instructions
$FI	Show number of function instructions
$Fj	Show address of function jump destination
$fl	Show flag length (size) at current address
$FS	Show function size (linear)
$Fs	Show size of current basic block
$FSS	Show function size (sum of basic block sizes)
$i{n}	Show address of nth instruction forward
$I{n}	Show address of nth instruction backward
$j	Show jump address
$Ja	Show address of nth jump of function
$k{kv}	Show value of sdb query
$l	Show length of current opcode
$M	Show map address (lowest map address)
$m	Show opcode memory reference
$MM	Show map size
$O	Show current offset pointed by cursor
$o	Show current disk I/O offset
$p	Show process ID
$P	Show child process ID (only in debug)
$r	Show console height in rows
$r{reg}	Show value of named register
$s	Show file size
$S	Show section offset
$SS	Show section size
$s{flag}	Show size of flag
$v	Show immediate value of current opcode
$w	Show word size based on asm.bits
$Xn	Show address of nth xref of function
RNum	Show variables usable in math expressions
%var=value	Set environment variable
"""[?][""..|..""]"	Quote to prevent evaluation of special chars
(macro arg0 arg1)	Define and manage scripting macros
.	Execute command
_	Print last output
<[str]	Feed stdin with given escaped string
/[?]	Search for bytes, regexps, patterns, etc.
{[?] ...}	Run command using JSON syntax for r2pipe
a	Analyze all (aaa)
b	Show current block size
c [string]	Compare a plain with escaped chars string
C[Cthsdmf]*	List comments/types/hidden/strings/data/magic/formatted in r2 commands
d	Generate graphviz dot
e[?] [a[=b]]	List/get/set config evaluable vars
f	List flags
g	Generate shellcode
i[*jq]	Show info of current file
k	List keys
l[?] [filepattern]	List files and directories
L	Show help message
m	List all mountpoints
o [file]	Open file in read-only mode
p[kK] [len]	Print key in randomart (K for mosaic)
P [file]	Open project
q[y/n][y/n]	Quit r2, optionally saving project
r	Show file size
s[j*=!]	Seek to address
t	List all loaded types
T	List all Text log messages
u	Show system uname
v	Enter visual mode
V	Enter visual mode (V:linear, VV:graph)
w[1248][+-][n]	Write bytes
y	Show yank buffer information
z[?]	Manage zignatures
?$?	Show available '$' variables and aliases
?>?	Show help for output redirection
?|?	Show help for '|' (pipe)
"""?"	Show help message
"""?e hello \""world\"""""	Print (hello "world")
"""?e x;y"";""?e y;x"""	Run two commands (prints x;y
"""""@addr""""[cmd]"	Run command at specified address
"""""?e x;y"";""?e y;x"	Run commands ignoring special chars
*entry0=cc	Write trap instruction at entrypoint
*entry0+10=0x804800	Write value at delta address
*entry0	Read byte at given address
.C*	Run 'C*' command and interpret output
..123	Seek 123 bytes forward
.--	Terminate TCP server for remote commands
. foo.r2	Run r2 script
. foo.py	Run r2pipe or r2lang script
.-	Open cfg.editor and run commands from temp file
.* file ...	Run script after opening it in cfg.editor
.!rabin -ri $FILE	Run command and interpret output
.(foo 1 2 3)	Run macro 'foo' with args 1, 2, 3
./ ELF	Run /m ELF command and interpret output
,. file.csv	Load table from CSV file
,,	Print table in CSV format
,-	Reset table
,/?	Query/filter current table
,*>$foo	Print table as r2 commands
,j	Print table in JSON format
,h xxd foo bar cow	Define header column names and types
,r 1 2 foo	Add a row using the given format string
/ foo\x00	Search for null-terminated string 'foo'
/j foo\x00	Search for null-terminated string 'foo' (JSON output)
/! ff	Search for first occurrence not matching
/!x 00	Search for first byte != 0x00
/+ /bin/sh	Construct string with chunks
//	Repeat last search
/a[?][1aoditfmsltf] jmp eax	Find instructions by text or bytes
/b[x] [str|414243]	Search backwards for string or hex values
/c[?][adr]	Search for crypto materials
/d 101112	Search for deltified sequence of bytes
/e /E.F/i	Search with regexp
/E esil-expr	Search for matching ESIL expressions
/f	Search forward (command modifier)
/F file [off] [sz]	Search contents of file
/g[g] [from]	Find all graph paths from A to B
/h[?][algorithm] [digest] [size]	Find block matching given hash
/i foo	Search for string 'foo' ignoring case
/k foo	Search for string 'foo' using Rabin Karp algorithm
/m [file]	Search using magic file
/o [n]	Show offset of n instructions backward
/O [n]	Show offset of n instructions backward (different fallback)
/p [hexpattern]	Search for hex pattern
/P patternsize	Search for similar blocks
/s[*] [threshold]	Search for sections with similar entropy
/r [addr]	Search for references to address
/R [string]	Search for ROP gadgets
/v[1248] value	Search for 32-bit value in little endian
/V[1248] min max	Search for 32-bit value in range
/w foo	Search for wide string 'f\0o\0o\0'
/wi foo	Search for wide string ignoring case
/x[?] [bytes]	Search for hex string
/z min max	Search for strings of given size
/a push rbp	Search for 'push rbp' instruction
/a1 [number]	Find valid assembly by changing nth byte
/aI	Search for infinite loop instructions
/aa mov eax	Search for approximate assembly
/ab[f] [delta]	Search for backward jumps
/ac mov eax	Search for case-sensitive assembly
/ad[?][/*jq] push;mov	Search for multiple instructions
/ae esil	Search for matching ESIL expressions
/af[l] family	Search for instructions of specific family
/aF[d] opstr	Search for instruction string in analyzed code
/ai[j] 0x300 [0x500]	Search for instructions using immediate in range
/al	List all opcodes
/am opcode	Search for specific mnemonic
/ao instr	Search for instruction
/as[qjl] ([type])	Search for syscalls
/at [optype,optype2]	Search for instructions matching optype(s)
/az[q] ([minstr])	Search for strings in code
/ad rax	Search disassembly for 'rax'
/ad rax$	Search disassembly for instruction matching glob
/adj rax	Search disassembly for 'rax' (JSON output)
/adq rax	Search disassembly for 'rax' (quiet mode)
/ad/ ins1;ins2	Search for regex 'ins1' followed by 'ins2'
/ad/a instr	Search every byte for regex 'instr'
/atj [optype,optype2]	Search for optypes (JSON output)
/atf [family]	Search for instructions of given family
/atl	List all instruction types
/atm	Search matching only instruction mnemonic
/bp	Search for previous prelude
/ca[?] [algo]	Search for keys expanded in memory
/cc[?] [algo] [digest]	Search for hash collisions
/cd	Search for ASN1/DER certificates
/cg	Search for GPG/PGP keys and signatures
/ck	Search for known constant tables
/cp[?] [algo] [pubkey]	Search for private key matching public key
/cr	Search for ASN1/DER private keys
/cca [algo] [digest]	Search using lowercase alphabet chars
/ccA [algo] [digest]	Search using uppercase alphabet chars
/ccl [algo] [digest]	Search using alphabet chars (lower + upper)
/ccd [algo] [digest]	Search using digits
/ccp [algo] [digest]	Search using printable chars
/ccb [algo] [digest]	Search using any byte value
/me	Print string similar to IRC /me
/mm	Search for known filesystems and mount automatically
/mb	Search for known headers
/pp	Search for function preludes
/ra	Search for all references
/rc ([addr])	Search for call references
/re [addr]	Search references using ESIL
/rr	Search for read references
/ru[*qj]	Search for UDS CAN database tables
/rw	Search for write references
/rx	Search for exec references
/R/ [regexp]	Search for matching ROP gadgets
/R/j [regexp]	Search for matching ROP gadgets (JSON output)
/R/q [regexp]	Search for matching ROP gadgets (quiet mode)
/Rj [string]	Search for ROP gadgets (JSON output)
/Rk [ropklass]	Search stored ROP gadgets by class
/Rq [string]	Search for ROP gadgets (quiet mode)
/x 9090cd80	Search for hex bytes
/x ff..33	Search for hex ignoring some nibbles
/x 9090cd80:ffff7ff0	Search with binary mask
/xn[1|2|4|8] value amount	Search for byte array
/xv[1|2|4|8] v0 v1 v2 v3 ..	Search for value array
a:[cmd]	Run command implemented by analysis plugin
a*	Run 'afl*', 'ah*', 'ax*'
aa	Analyze all (same as 'aaa')
a8 [hexpairs]	Analyze bytes
ab [addr]	Analyze basic block
ac [class name]	Add class
aC[?]	Analyze function calls
ad [N] [D]	Analyze N data words at D depth
ae [expr]	Evaluate ESIL expression
af[?]	Analyze functions
aF	Analyze functions (same as above, but using anal.depth=1)
ag[?] [options]	Draw graphs in various formats
ah	List hints
ai [addr]	Show address information
aj	Show analysis info in JSON format
aL[jq]	List all asm/anal plugins
an[j*]	Show flag/function/symbol name
ao[?] [len]	Analyze Opcodes
aO[?] [len]	Analyze N instructions in M bytes
ap	Find function preludes
ar	Show 'gpr' registers
as	Show current syscall and arguments
av	Search for vtables in data sections
avg [type] [name]	Add global variable
ax	List cross-references
aab	Analyze all basic blocks
aac [len]	Analyze function calls
aac* [len]	Flag function calls without full analysis
aaci	Flag import xrefs only
aad [len]	Analyze data references to code
aae	Emulate code to find computed references
aaef	Emulate functions
aaf	Analyze all functions
aaF [sym*]	Set anal.in=block for all spaces between matching flags
aaFa [sym*]	Analyze all functions and their arguments
aai[j]	Show analysis info
aaj	Analyze all jumps
aan	Auto name functions
aao	Analyze all objc references
aap	Analyze function preludes
aar [sz]	Analyze xrefs in current offset range
aas [len]	Analyze symbols
aaS	Analyze all flags starting with sym.*
aat [fcn]	Analyze all/given function to convert immediate to linked structure offsets
aaT [len]	Analyze code after trap-sleds
aau [len]	List memory areas not covered by functions
aav	Find absolute reference values
aaw	Analyze all meta words and add flags for referenced pointers
aax[?]	Analyze all xrefs
aaep	Define anal pins by import flag names
aaepa	Define anal pins for all unknown imports
aaex	Emulate code linearly and register only computed xrefs
aafe	Emulate functions to find computed references
aaff	Add flags for each function
aafr [len]	Analyze functions recursively
aaft	Recursive type matching across all functions
aafs	Analyze all basic blocks in current function
aang	Auto name all golang functions
aanr	Auto-noreturn propagation
aarr	Analyze all function reference graphs
aar* [sz]	List found xrefs in radare commands format
aarj [sz]	List found xrefs in JSON format
aav0	Find absolute reference values (accept maps at address zero)
aavr[0]	Find relative reference values
ab-[addr]	Delete basic block at given address
ab.	Analyze basic block at current offset
abi[?]	Analyze basic block information
aba [addr]	Analyze ESIL accesses in basic block
abb [length]	Analyze N bytes and extract basic blocks
abc[-] [color]	Set color of basic block
abe [esil-expr]	Evaluate ESIL expression in basic block
abf [addr]	Show addresses of incoming basic blocks
abj [addr]	Show basic block information in JSON
abl[?] [.-cqj]	List all basic blocks
abo	List opcode offsets of current basic block
abp[?] [addr] [num]	Follow basic block paths
abt[tag] ([color])	Show/set trace tag for current basic block
abx [hexpair-bytes]	Analyze N bytes
acl[j*]	List all classes
acll[j] (class_name)	List class details
ac- [class name]	Delete class
acn [class name] [new class name]	Rename class
acv [class name] [addr] ([offset]) ([size])	Add vtable address to class
acvf [offset] ([class name])	Look up function address on vtable offset
acv- [class name] [vtable id]	Delete vtable by id
acb [class name] [base class name] ([offset])	Add base class
acb- [class name] [base class id]	Delete base class by id
acm [class name] [method name] [offset] ([vtable offset])	Add/edit method
acm- [class name] [method name]	Delete method
acmn [class name] [method name] [new name]	Rename method
acg	Print class inheritance graph
ac?	Show help for class commands
aCe	Use ESIL emulation to find function arguments
aCf	Find function arguments for all functions
ad4 [N] [D]	Analyze N data words at D depth (32-bit)
ad8 [N] [D]	Analyze N data words at D depth (64-bit)
adf	Analyze data in function
adfg	Analyze data in function gaps
adt	Analyze data trampolines
adk	Analyze data kind (code, text, data, invalid, etc)
ae! [file]	Compile ESIL file into ESIL expression
ae?	Show ESIL help
ae??	Show extended ESIL help
aea[f] [count]	Analyze ESIL instruction accesses (regs, mem..)
aeA[f] [count]	Analyze N bytes for ESIL accesses (regs, mem..)
aeb ([addr])	Analyze ESIL basic block
aeC[arg0 arg1..] @ addr	ESIL function call
aec	Continue until exception
aef [addr]	Analyze ESIL function
aefa [addr]	Analyze function to find arguments
aeg [expr]	ESIL data flow graph
aegf [expr] [register]	ESIL data flow graph filter
aei	Initialize ESIL VM state
aek	Show ESIL evaluator stats
aeL[?][-] [name]	List/manage ESIL plugins
aep	List ESIL ports
aepc [addr]	Change ESIL PC to given address
aer[?] [..]	Handle ESIL registers
aes[?]	Perform emulated debugger step
aet[?][s]	ESIL trace session management
aev [esil]	Evaluate ESIL expression
aex [hex]	Evaluate opcode expression
	continue until ^c
aecs	Continue execution until the next syscall is encountered
aecc	Continue execution until the next function call is reached
aecu[addr]	Continue execution until the specified address is reached
aecue[addr]	Continue execution until the given ESIL expression evaluates to true
aeis argc [argv] [envp]	Initialize the ESIL stack environment with argc, argv, and envp for program entry point
aeim	Initialize ESIL memory with default values from esil.stack.* configuration
aeip	Set the ESIL program counter (PC) to the current seek address
aeim 0x10000	Initialize ESIL memory at address 0x10000 (same as aeim@e:esil.stack.addr=0x10000)
aeim 0x10000 2M mystack	Create a named 2MB stack at address 0x10000
aek sdb.query	Execute an sdb query on the esil.stats database
aek-	Clear all data in the esil.stats sdb instance
aep*	List all ESIL pins as r2 commands
aep-*	Remove all ESIL pins
aep-[name]	Remove a specific ESIL pin by name
aepa ([addr])	Automatically set an ESIL pin at the current or given address based on flag name
aep memcpy=wf `dr?A1` `dr?A2` @r:A0	Override esil.cmd.pin for the 'memcpy' pin name with a custom command
aep soft.show.r9=dr?r9	Set a 'soft' ESIL pin that only executes during disassembly
aep.	Display the pin name at the current address, if any exists
aepk [query]	Query the sdb database of ESIL pins
ar.>$snapshot	Generate r2 commands to set register values to their current state
ar,	Display registers in a tabular format (equivalent to dr,)
.ar*	Create flags for all register values
.ar-	Remove all register-based flags
ar0	Reset all register arenas to zero
ara	Display all allocated register arenas
arj	Show general-purpose registers (GPR) in JSON format
arA[?]	Display values of function argument calls (A0, A1, A2, etc.)
ar 16	Display 16-bit registers
ar 32	Display 32-bit registers
ar all	Display registers of all bit sizes
ar <type>	Display all registers of a specific type
arC	Show comments associated with the register profile
arr	Display register references (telescoping view)
arrj	Show register references (telescoping view) in JSON format
ar=([size])(:[regs])	Display register values in columns, optionally filtering by size and specific registers
ar? <reg>	Show the value of a specific register
arb <type>	Display a hexdump of the given register arena
arc[cq=] <name>	Manage conditional flag registers
arcc	Derive calling convention from the current register profile
ard <name>	Display only registers that have changed
arn <regalias>	Get the actual register name for a given alias (e.g., pc, sp, bp, a0-3, zf, cf, of, sg)
aro	Display previous (old) register values
arp [gdb] [regprofile-file]	Parse a GDB register profile and output an r2 profile string
ars	Display the current register state on the stack
arS	Show the size of the current register profile
art	List all available register types
arw <hexnum>	Set the contents of the register arena to a specific hexadecimal value
ara+	Push a new register arena for each register type
ara-	Pop the last register arena
aras	Swap the last two register arenas
arp*	Generate r2 commands to create flags for each register at their respective arena offsets
arpc	Display comments associated with the register profile
arpi	Show the internal representation of the register profile
arp.	Display the current fake size of the register profile
arpj	Show the current register profile in JSON format
arps [new fake size]	Get or set the register profile size
arpg	Display comments associated with the register profile
NOTE:	"filename defaults to ""<cfg.prefixdump>.<offset>"""
aesp [X] [N]	Evaluate N instructions starting from offset X in ESIL
aesb	Step backwards in ESIL evaluation
aeso	Step over in ESIL evaluation (skip function calls)
aesou [addr]	Step over in ESIL until reaching the specified address
aess	Step skip in ESIL (skip function calls instead of stepping into them)
aesu [addr]	Step in ESIL until reaching the specified address
aesue [esil]	Step in ESIL until the given ESIL expression matches
aesuo [optype]	Step in ESIL until encountering an opcode of the specified type
aesB [addr] [N] @ [from-addr]	Step over N instructions in ESIL, starting from the given address
af ([name]) ([addr])	Analyze functions, optionally specifying a name and starting address
af+ addr name [type] [diff]	Manually create a function with the given name and type at the specified address
af- [addr]	Remove all function analysis data, or for a specific function at the given address
afa	Analyze function arguments in the current function call
afB 16	Set the current function as Thumb (16-bit instructions) in ARM architecture
afb [addr]	List basic blocks of the current function or at the specified address
afb+ fcnA bbA sz [j] [f] ([t]( [d]))	Add a basic block to a function, specifying function address, basic block address, size, and optional parameters
afbF([0|1])	Toggle the 'folded' attribute of the current basic block
afc	Show the calling convention for the current function
afC	Calculate and display the cyclomatic complexity cost of the current function
afd[addr]	Show the difference between the current function and the one at the specified address
afF[1|0|]	Fold, unfold, or toggle the visibility of the current function
afi [addr|fcn.name]	Display detailed information about the specified function or current function
afj [tableaddr] [elem_sz] [count] [seg]	Analyze function jump table, specifying table address, element size, count, and optional segment
afl	List all functions in the current binary
afm name	Merge the current function with another function specified by name
afM name	Print a map of all functions in the binary
afn [name]	Rename the current function or the function at the specified address
afna[j]	Automatically generate a function name for the current offset
afo[?j] [fcn.name]	Show the address of the specified function name or current offset
afr ([name]) ([addr])	Analyze functions recursively, optionally specifying a name and starting address
afs[?] ([fcnsign])	Get or set the function signature at the current address
afS[stack_size]	Set the stack frame size for the function at the current address
aft	Perform type matching analysis for the current function
afu addr	Resize and analyze the current function up to the specified address
afv[?]	Manipulate arguments, registers, and variables in the current function
afx[m]	List cross-references (xrefs) to the current function
afb. [addr]	Show information about the current basic block or at the specified address
afb,	Display basic blocks of the current function in a table format
afb=	Display ASCII-art bars representing basic block regions
afb+ fcn_at bbat bbsz [jump] [fail] ([diff])	Manually add a basic block to a function, specifying various parameters
afba[!]	List basic blocks of the current offset in analysis order (EXPERIMENTAL)
afbc[-] [color] ([addr])	Colorize a basic block or remove color
afbd	List function basic block dependencies and set analysis-by-call (abc) values
afbe bbfrom bbto	Add a basic block edge for switch-cases
afbi[j]	Print detailed information about the current basic block
afbj [addr]	Show basic block information in JSON format
afbr	Show addresses of instructions that leave the current function
afbo	List addresses of each instruction for every basic block in the function
afB [bits]	Define the number of bits for instructions in the given function
afbrb	Show addresses of basic blocks with no outgoing edges (leaf blocks)
.afbr*	Set a breakpoint on every return address of the current function
.afbr-*	Remove breakpoints from all return addresses of the current function
afc ccname	Manually set the calling convention for the current function
afcr[j]	Show register usage for the current function
afcf[j] [name]	Print the return type and arguments of the specified function
afci	Display information about the current calling convention
afcj	Show current calling convention information in JSON format
afck	List SDB details of loaded calling conventions
afcl	List all available calling conventions
afcll	Show all calling conventions and their definitions
afco path	Open a Calling Convention SDB profile from the specified path
afcR	Perform register telescoping using the calling convention order
afCc	Calculate and display the cyclomatic complexity of the current function
afCl	Count the number of loops (backward jumps) in the current function
afl.	Display information about the function at the current offset
afl, [query]	List functions in a table format, optionally filtering with a query
afl+	Display the sum of all function sizes
afl*	Output commands to reconstruct all functions in r2 format
afl=	Display ASCII-art bars representing function ranges
afla	List functions in reverse call order (useful for analyzing non-returning functions)
aflc	Count the total number of functions
aflj	List functions in JSON format
afll [column]	List functions in verbose mode, optionally sorting by column name
afllj	List functions in verbose mode using JSON format
aflm	List functions and their calls in a Makefile-like format
afln[?]	List all function names
aflq	List functions in quiet mode (names only)
aflqj	List functions in quiet mode using JSON format
afls[?asn]	Sort the function list by address, size, or name
aflx[?*jv]	List cross-references (xrefs) to the current function
aflm.	Print only the summary for the current function
aflmj	Print the current function summary in JSON format
afn.	Show the name of the function at the current offset
afn*	Output r2 commands to set function signature, flag, and name
afns[j]	List all strings associated with the current function
afs ([fcnsign])	Get or set the function signature at the current address
afsq	Get the function signature without displaying error messages
afs!	Edit the current function signature using the configured editor
afs* ([signame])	Get the function signature in flag format
afsj ([signame])	Get the function signature in JSON format
afsr [function_name] [new_type]	Change the return type for the specified function
afsv[j]	Print the function signature, filling values from current register and stack state
afv*	Output r2 commands to add arguments and local variables to the flag space
afv-([name])	Remove all variables or a specific variable by name
afv=	List function variables and arguments with disassembly references
afva	Analyze function arguments and local variables
afvb[?]	Manipulate base pointer (BP) based arguments and local variables
afvd name	Output r2 command for displaying the value of arguments or local variables in the debugger
afvf	Show base pointer (BP) relative stack frame variables
afvn [new_name] ([old_name])	Rename an argument or local variable
afvr[?]	Manipulate register-based arguments
afvR [varname]	List addresses where variables are read from
afvs[?]	Manipulate stack pointer (SP) based arguments and local variables
afvt [name] [new_type]	Change the type of a given argument or local variable
afvW [varname]	List addresses where variables are written to
afvx	Show cross-references of function variables (combines afvR and afvW)
aotl	List all possible opcode types (equivalent to /atl command)
as 4	Display information about syscall number 4 based on current architecture and register/memory state
asc[a] 4	Dump syscall information in assembly (.asm) or C header (.h) format
asj	List all syscalls in JSON format
asl	List all syscalls for the current architecture and operating system
asl close	Return the syscall number for the 'close' system call
asl 4	Return the name of the syscall with number 4
ask [query]	Perform syscall-related queries and display results
avj	Display analysis information about vtables in JSON format
av*	Display analysis information about vtables as radare2 commands
avr[j@addr]	Attempt to parse RTTI (Run-Time Type Information) at the specified vtable address (see anal.cxxabi)
avra[j]	Search for vtables and attempt to parse RTTI at each discovered location
avrr	Recover class information from all findable RTTI structures (see ac command)
