q	a
How can you run your own r2 scripts in awk?	Use the r2awk program to run your own r2 scripts in awk.
How can you disable automatic string search when loading the binary?	Use the command '-e bin.strings=false' to disable automatic string search when loading the binary.
How is radare2 described?	Radare2 is a unix-like reverse engineering framework.
What is the intended purpose of the blank space in the code?	The code was intentionally left blank, try 'e asm.arch = ws'.
What should you do if you want a premium r2 experience?	Use the command 'r2pm -i r2premium; echo "e cfg.fortunes.type = nsfw" >> ~/.radare2rc' for a premium r2 experience.
How can you run the io plugin cmd callback?	Use the command ':' to run the io plugin cmd callback. Many io plugins provide useful features, find them out!
How can you display all local variables and argument types and names?	Set 'asm.var.summary' to 0 to display all local variables and argument types and names.
How can you use registers in math expressions?	You can use registers in math expressions, for example: 'wx 1234 @ esp - 2'.
How do you enable HTTP authentication in radare2?	Use the commands 'e http.auth = 1' and 'e http.authfile = <path>' to enable HTTP authentication.
What is the purpose of 'e asm.lines=true'?	Enable ascii-art jump lines in disassembly. This feature makes the disassembly output more readable by adding ASCII art lines that represent jumps and control flow.
How can you disable the loading of debug information at startup?	Set 'e bin.dbginfo=false' to disable the loading of debug information at startup.
What command can be used to set 'e asm.arch=<arch>'?	The command 'e asm.arch=<arch>' can be used to select the architecture for disassembly.
How can you use 'ragg2' to get a free shell?	Use the command 'ragg2 -i exec -x' to get a free shell using ragg2.
How can you find wide-char strings with '/w <string>'?	Use the command '/w <string>' to find wide-char strings in a binary.
How can you analyze socket connections with radare2?	Use the command 'radare2 socket://www.foo.com:80' to analyze socket connections. You can then send data using the 'w' command.
What is the purpose of 'e scr.color=X'?	Set 'e scr.color=X' to change the color scheme, where X can be 1, 2, or 3 for 16, 256, or 16M colors respectively.
How can you switch between visual and visual panel modes?	Use the 'V' or 'v' commands to switch between visual and visual panel modes respectively.
How can you toggle between disasm and graph views?	Use the space key to toggle between disasm and graph views.
What does 'aa' command do in radare2?	The 'aa' command performs automatic analysis on the binary, and the more 'a' you add after 'aa', the more analysis steps are executed.
What is the purpose of 'e graph.offset=true'?	This command enables the display of offsets in graphs, making it easier to understand the structure of the binary.
How can you load flags of symbols from all modules in the debugger?	Use the command '.dmm*' to load the flags of the symbols of all modules loaded in the debugger.
What is the purpose of 'e cfg.fortunes.type = fun,tips,nsfw'?	This command sets the fortune types to fun, tips, and nsfw, allowing you to choose the type of fortunes you want to receive.
How can you find known magic headers in a binary?	Use the command '/m' to carve for known magic headers in a binary. This can help you identify the type of data or the format of a binary section.
What is the purpose of 'e asm.var.summary = 0'?	This command enables the display of all local variables and argument types and names in the disassembly output.
How can you use registers in math expressions in radare2?	You can use registers like 'esp', 'ebp', 'eax', etc., in math expressions. For example, 'wx 1234 @ esp - 2' writes the value 1234 to the memory location two bytes below the current value of 'esp'.
What is the purpose of 'e http.auth = 1' and 'e http.authfile = <path>'?	These commands enable HTTP authentication for radare2 sessions. 'e http.auth = 1' enables authentication, and 'e http.authfile = <path>' specifies the path to the file containing the authentication credentials.
How can you use 'ragg2' to get a free shell?	Use the command 'ragg2 -i exec -x' to get a free shell using ragg2.
What is the purpose of 'e asm.lines=true'?	Enable ascii-art jump lines in disassembly. This feature makes the disassembly output more readable by adding ASCII art lines that represent jumps and control flow.
How can you disable the loading of debug information at startup?	Set 'e bin.dbginfo=false' to disable the loading of debug information at startup.
