q	a
How to use virtual addressing defined by the IO maps?	e io.va=true
Search for aligned 32bit values that represent valid mapped addresses in the current memory layout?	aav
How can I seek to the end of the binary?
How do I seek to the symbol named 'sym.boo' in radare2?	s sym.boo
How can I dump the current block (defined with the `b` command) to `file.bin`?	wtf file.bin
What command displays the program entrypoint address?	ie
How do I list all available commands for help?	?*
How can I perform all the experimental analysis?	aaaaa
What command enumerates all the memory maps that associate virtual addressing ranges to physical offsets and its associated file?	om
How do I write the value 0x32 in little endian 16bit?	wv2 0x32
How can I retrieve the number of functions?	aflc
What is the name of the current working file?	o.
How do I list all the files opened?	o
How can I disassemble the function at address 0x401000?	pdf @ 0x401000
How can I analyze a function in the current seek address?	af
Analyze function in the current address and the called ones recursively	afr
How do I step over the next instruction during debugging?	dso
How can I view the hexdump of 64 bytes at the current position?	px 64
How do I search for the opcode "mov eax, ebx"?	'/a mov eax, ebx`
How do I assemble and search for the bytes as instructions for "mov x19, x1"?	/a mov x19,x1
How can I write the string "Hello" at the current position?	'w Hello
How do I open a file called "test.bin" in radare2?	o test.bin
How can I display information about the opened file?	i
Decompile the current function using r2ghidra	pdg
How to decompile the function named sym.main with r2dec	pdd @ sym.main
How do I assemble the instruction "nop" at the current position?	wa nop
I need to set the block size to 128 bytes.	b 128
How do I display the entropy of the file?	p=e
I want to see the comments at the current address.	CC.
I want to list all cross-references to address 0x401000.	axt @ 0x401000
How can I evaluate the expression 0x400 + 0x200?	?v 0x400 + 0x200
I need to see the help for the 'af' command.	af?
How can I print the value of the EAX register?	dr?eax
I want to view 32 bytes in hexadecimal at address 0x500000.	px 32 @ 0x500000
How do I list the sections with their computed entropy value?	iS entropy
I need to continue execution until the next syscall.	dcs
How can I list all the processes in the system?	dp
How can I list all the threads of the current debugged process?	dpt
How do I disable the comments in the disassembly view?	e asm.comments = false
How can I rename a flag from 'flag.old' to 'flag.new'?	fr flag.new flag.old
I need to change the endianness to big endian.	e cfg.bigendian = true
How do I continue execution until the function 'main' is called?	dcu main
I want to see the usage of the 'px' command.	px?
How can I search for a wide string (utf-16) "hello"?	/w hello
How to scan the memory for known magic file headers	/m@e:search.align=4
How can I enable the IO write cache layer to avoid modifying the real file?	e io.cache = true
I want to quickly quit radare2 right now.	q!
How do I undo the last seek operation?	s-
I want to dump all the strings into a strings.txt file	iz > strings.txt
How can I set a hardware breakpoint to stop the execution when the process writes anything at address 0x400800?	dbw 0x400800
I want to see the value of the address 0x400500 in decimal.	?vi [0x400500]
I need to list all the variables in the current function.	afv
How can I search disassemble the whole section and filter the lines matching "eax"	output pd $SS @ $S ~eax
Where is the current section address?	?v $S
How to find out the size of the current section?	?v $SS
How can I find functions that call 'main'?	axt sym.main
I want to view the hexpair string representation of the next 64 bytes.	p8 64
How do I define a structure type in radare2?	'td struct myStruct { int a; char b; };
How do I define an enum type in radare2?	'td enum myEnum { NONE, ONE, TWO, LAST };
How do I search for the string 'hello' ignoring case?	/i hello
How can I create a new flag space named 'findings'?	fs findings
How can I print the immediate value of the current instruction?	ao~^val[1]
Whats the destination for the jump/branch/call at address 0x580034?	?v $j @ 0x580034
How do I display the executable headers of the current binary?	iH
Emulate all the executable regions to find out computed references to strings	aae
What option must be set to create flags for every new string referenced from the analysis?	e anal.strings=true
I need to calculate the SHA256 hash of the current block.	ph sha256
