Category	Question	Command
Resource Analysis	How do I find offset to resource section?	?v $S{.rsrc}-$DB
Resource Analysis	How do I calculate size of resource directory?	?v $s{.rsrc}
Resource Analysis	How do I get distance between resource entries?	?v 8*$w
Resource Analysis	How do I find size of resource data?	?v $SS-($S-$DB)
Resource Analysis	How do I calculate resource alignment?	?v 8-($SS%8)
Thread Analysis	How do I find offset to thread context?	?v $r{rdi}
Thread Analysis	How do I calculate thread stack size?	?v $MM
Thread Analysis	How do I get distance between thread locals?	?v $w
Thread Analysis	How do I find size of thread data?	?v $s{tls}
Thread Analysis	How do I calculate thread stack alignment?	?v 16-($r{rsp}%16)
Exception Analysis	How do I find offset to exception handler?	?v $Xn-$FB
Exception Analysis	How do I calculate size of exception table?	?v $s{.pdata}
Exception Analysis	How do I get distance between catch blocks?	?v $Fe-$Ff
Exception Analysis	How do I find size of exception data?	?v $SS-($S-$DB)
Exception Analysis	How do I calculate exception frame size?	?v $r{rbp}-$r{rsp}
Relocation Analysis	How do I find offset to relocation table?	?v $Dn-$DB
Relocation Analysis	How do I calculate size of relocation section?	?v $s{.reloc}
Relocation Analysis	How do I get distance between relocations?	?v $w
Relocation Analysis	How do I find size of relocation block?	?v $SS-($S-$DB)
Relocation Analysis	How do I calculate relocation alignment?	?v 4-($SS%4)
Symbol Analysis	How do I find offset to symbol table?	?v $Dn-$DB
Symbol Analysis	How do I calculate size of symbol section?	?v $s{.symtab}
Symbol Analysis	How do I get distance between symbols?	?v 18*$w
Symbol Analysis	How do I find size of string table?	?v $s{.strtab}
Symbol Analysis	How do I calculate symbol alignment?	?v 4-($o%4)
Debug Info	How do I find offset to debug directory?	?v $Dn-$DB
Debug Info	How do I calculate size of debug section?	?v $s{.debug}
Debug Info	How do I get distance between line numbers?	?v 4*$w
Debug Info	How do I find size of debug symbols?	?v $SS-($S-$DB)
Debug Info	How do I calculate debug data alignment?	?v 4-($SS%4)
PE Analysis	How do I find offset to PE header?	?v $S{pe}-$B
PE Analysis	How do I calculate size of optional header?	?v $s{opthdr}
PE Analysis	How do I get distance between sections?	?v $SS
PE Analysis	How do I find size of headers?	?v $S
PE Analysis	How do I calculate file alignment?	?v 512-($o%512)
ELF Analysis	How do I find offset to program headers?	?v $Dn-$B
ELF Analysis	How do I calculate size of section headers?	?v $s{shdr}
ELF Analysis	How do I get distance between segments?	?v $MM
ELF Analysis	How do I find size of dynamic section?	?v $s{.dynamic}
ELF Analysis	How do I calculate segment alignment?	?v 4096-($MM%4096)
Mach-O Analysis	How do I find offset to load commands?	?v $Dn-$B
Mach-O Analysis	How do I calculate size of commands?	?v $s{lcmds}
Mach-O Analysis	How do I get distance between segments?	?v $MM
Mach-O Analysis	How do I find size of linkedit?	?v $s{__LINKEDIT}
Mach-O Analysis	How do I calculate segment alignment?	?v 4096-($MM%4096)
Network Analysis	How do I find offset to packet payload?	?v $Dn-$FB
Network Analysis	How do I calculate size of packet header?	?v $i2-$FB
Network Analysis	How do I get distance between packets?	?v $MM
Network Analysis	How do I find size of network buffer?	?v $s{buffer}
Network Analysis	How do I calculate packet alignment?	?v 4-($SS%4)
Kernel Analysis	How do I find offset to kernel base?	?v $D-$DB
Kernel Analysis	How do I calculate size of kernel section?	?v $s{.text}
Kernel Analysis	How do I get distance between drivers?	?v $MM
Kernel Analysis	How do I find size of
